W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] 
W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] *****************************************
W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0622 00:00:51.750000 1147479 torch/distributed/run.py:793] *****************************************
Loaded checkpoint '/home/shulab/wyc/M3A_vision/checkpoint_epoch_240.pth' bect_acc tensor([80.3460], device='cuda:0') (epoch 240)
Epoch: 242/300 | Batch: 1650/5004 | Loss: 3.2354 | Acc: 68.28% | LR: 0.0001019 | 
Epoch: 242/300 | Batch: 1700/5004 | Loss: 3.2452 | Acc: 69.34% | LR: 0.0001018 | 
Epoch: 242/300 | Batch: 1750/5004 | Loss: 3.1581 | Acc: 71.12% | LR: 0.0001018 | 
Epoch: 242/300 | Batch: 1800/5004 | Loss: 3.1108 | Acc: 72.15% | LR: 0.0001018 | 
Epoch: 242/300 | Batch: 1850/5004 | Loss: 3.1519 | Acc: 71.20% | LR: 0.0001017 | 
Epoch: 242/300 | Batch: 1900/5004 | Loss: 3.1906 | Acc: 70.68% | LR: 0.0001017 | 
Epoch: 242/300 | Batch: 1950/5004 | Loss: 3.2315 | Acc: 69.03% | LR: 0.0001017 | 
Epoch: 242/300 | Batch: 2000/5004 | Loss: 3.2087 | Acc: 68.44% | LR: 0.0001016 | 
Epoch: 242/300 | Batch: 2050/5004 | Loss: 3.1849 | Acc: 69.65% | LR: 0.0001016 | 
Epoch: 242/300 | Batch: 2100/5004 | Loss: 3.1840 | Acc: 69.48% | LR: 0.0001016 | 
Epoch: 242/300 | Batch: 2150/5004 | Loss: 3.2150 | Acc: 69.25% | LR: 0.0001015 | 
Epoch: 242/300 | Batch: 2200/5004 | Loss: 3.2621 | Acc: 68.35% | LR: 0.0001015 | 
Epoch: 242/300 | Batch: 2250/5004 | Loss: 3.1348 | Acc: 70.03% | LR: 0.0001015 | 
Epoch: 242/300 | Batch: 2300/5004 | Loss: 3.1558 | Acc: 71.71% | LR: 0.0001014 | 
Epoch: 242/300 | Batch: 2350/5004 | Loss: 3.1909 | Acc: 70.61% | LR: 0.0001014 | 
Epoch: 242/300 | Batch: 2400/5004 | Loss: 3.3169 | Acc: 66.45% | LR: 0.0001014 | 
Epoch: 242/300 | Batch: 2450/5004 | Loss: 3.2723 | Acc: 67.45% | LR: 0.0001013 | 
Epoch: 242/300 | Batch: 2500/5004 | Loss: 3.3256 | Acc: 67.21% | LR: 0.0001013 | 
Epoch: 242/300 | Batch: 2550/5004 | Loss: 3.1521 | Acc: 69.29% | LR: 0.0001013 | 
Epoch: 242/300 | Batch: 2600/5004 | Loss: 3.2448 | Acc: 67.74% | LR: 0.0001012 | 
Epoch: 242/300 | Batch: 2650/5004 | Loss: 3.2353 | Acc: 68.51% | LR: 0.0001012 | 
Epoch: 242/300 | Batch: 2700/5004 | Loss: 3.2478 | Acc: 68.87% | LR: 0.0001012 | 
Epoch: 242/300 | Batch: 2750/5004 | Loss: 3.2226 | Acc: 69.31% | LR: 0.0001011 | 
Epoch: 242/300 | Batch: 2800/5004 | Loss: 3.3133 | Acc: 66.52% | LR: 0.0001011 | 
Epoch: 242/300 | Batch: 2850/5004 | Loss: 3.2703 | Acc: 67.84% | LR: 0.0001011 | 
Epoch: 242/300 | Batch: 2900/5004 | Loss: 3.2413 | Acc: 67.55% | LR: 0.0001010 | 
Epoch: 242/300 | Batch: 2950/5004 | Loss: 3.2819 | Acc: 67.24% | LR: 0.0001010 | 
Epoch: 242/300 | Batch: 3000/5004 | Loss: 3.2878 | Acc: 67.52% | LR: 0.0001010 | 
Epoch: 242/300 | Batch: 3050/5004 | Loss: 3.1477 | Acc: 72.01% | LR: 0.0001009 | 
Epoch: 242/300 | Batch: 3100/5004 | Loss: 3.3036 | Acc: 67.24% | LR: 0.0001009 | 
Epoch: 242/300 | Batch: 3150/5004 | Loss: 3.2700 | Acc: 67.30% | LR: 0.0001009 | 
Epoch: 242/300 | Batch: 3200/5004 | Loss: 3.1682 | Acc: 69.93% | LR: 0.0001008 | 
Epoch: 242/300 | Batch: 3250/5004 | Loss: 3.2566 | Acc: 69.10% | LR: 0.0001008 | 
